Price,URL,Location_Date,ConditionCategory,MainCategory
5 000 000 so’m,https://www.olx.uz/d/oz/obyavlenie/ofisy-v-arendu-ot-20-do-35-kv-m-ryadom-s-metro-beruni-ID41igI.html,"Toshkent, Olmazor tumani - Bugunda 09:26",not specified,Real_Estate
4 280 371 934 so’m,https://www.olx.uz/d/oz/obyavlenie/nest-one-tashkent-city-ID40RYp.html,"Toshkent, Shayxontohur tumani - Bugunda 09:26",not specified,Real_Estate
"15 564 989 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/tayyor-ofis-ijaraga-beriladi-3-xona-oshxona-80-kv-m-1200-ID3Vl6n.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:26",not specified,Real_Estate
12 970 824 so’m,https://www.olx.uz/d/oz/obyavlenie/sdayotsya-1-komnatnaya-kvartira-na-infinity-ID3UfLI.html,"Toshkent, Yashnobod tumani - Bugunda 09:29",not specified,Real_Estate
50 000 so’m,https://www.olx.uz/d/oz/obyavlenie/xotel-xostel-hotel-mehmonxona-xotel-xostel-ID2V2Gj.html,"Toshkent, Yakkasaroy tumani - 29/04/2025",not specified,Real_Estate
90 000 so’m,https://www.olx.uz/d/oz/obyavlenie/yangi-mehmonxona-arzon-mehmonxona-mexmonxona-posutochni-kvartira-hotel-ID3MBjv.html,"Toshkent, Chilonzor tumani - 30/04/2025",not specified,Real_Estate
"894 986 859 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/tayyor-biznes-yashash-joyi-bilan-dam-olish-maskani-mavjud-ID40Bwz.html,Quvasoy - 30/04/2025,not specified,Real_Estate
1 011 724 275 so’m,https://www.olx.uz/d/oz/obyavlenie/11-kvartal-3v4-3-4-evro-lyuksprodam-ID41HEm.html,"Toshkent, Chilonzor tumani - Bugunda 09:26",not specified,Real_Estate
"150 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/sdayotsya-v-arendu-pomeshheniya-ID3PeBq.html,"Toshkent, Sirg‘ali tumani - Bugunda 09:26",not specified,Real_Estate
"1 335 994 876 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/prodaetsya-kvartira-na-c-1-orientir-guvd-2-3-4-65m2-ID40RYn.html,"Toshkent, Mirobod tumani - Bugunda 09:26",not specified,Real_Estate
15 564 989 so’m,https://www.olx.uz/d/oz/obyavlenie/parkentskij-evos-74kv-nezhiloe-pomeshhenie-arenda-ID41igD.html,"Toshkent, Yashnobod tumani - Bugunda 09:26",not specified,Real_Estate
49 289 131 so’m,https://www.olx.uz/d/oz/obyavlenie/sdayotsya-evro-dom-na-nikitina-ID3Uakf.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:28",not specified,Real_Estate
2 179 098 439 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayotsya-3-komnatnaya-restoran-ummon-ID3VaQw.html,"Toshkent, Yashnobod tumani - Bugunda 09:28",not specified,Real_Estate
5 447 746 098 so’m,https://www.olx.uz/d/oz/obyavlenie/srochno-uchastok-6-sotok-s-3-etazhnym-domom-v-tixoj-ekologichnoj-maxalle-ID426TF.html,Qibray - Bugunda 09:26,not specified,Real_Estate
10 376 659 so’m,https://www.olx.uz/d/oz/obyavlenie/arenda-nukuskaya-3-5-9-ID41igu.html,"Toshkent, Mirobod tumani - Bugunda 09:26",not specified,Real_Estate
"3 372 414 251 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/prodazha-premiuim-kvartiry-v-centre-ul-nukus-220-kvadratov-srochno-ID3VI0y.html,"Toshkent, Yakkasaroy tumani - Bugunda 09:26",not specified,Real_Estate
"907 957 683 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/joy-sotiladi-skalad-ID30EzD.html,Ishtixon - Bugunda 09:26,not specified,Real_Estate
511 327 500 so’m,https://www.olx.uz/d/oz/obyavlenie/uy-sotiladi-navastroyka-vodnikda-roxat-ID41qHR.html,"Toshkent, Yashnobod tumani - 30/04/2025",not specified,Real_Estate
"5 178 000 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/kvartira-v-centre-ID414zl.html,"Toshkent, Yashnobod tumani - 28/04/2025",not specified,Real_Estate
100 000 so’m,https://www.olx.uz/d/oz/obyavlenie/kunlik-kvartira-mehmonxona-arzon-mehmonxona-hotel-hostel-ID41MUA.html,"Toshkent, Mirobod tumani - 30/04/2025",not specified,Real_Estate
2 135 925 000 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayotsya-5-komnatnaya-na-parkentskom-ID40fP1.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:28",not specified,Real_Estate
582 525 000 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayotsya-kvartira-1-2-4-massiv-feruza-223-shkola-1-komnatnaya-srochno-ID426TC.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:26",not specified,Real_Estate
3 883 500 so’m,https://www.olx.uz/d/oz/obyavlenie/arendaga-kvartira-ID426TA.html,"Toshkent, Sirg‘ali tumani - Bugunda 09:26",not specified,Real_Estate
"2 589 000 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/toshkent-shahar-chetida-nazarbekda-uy-sotiladi-6sotix-7-xona-2-ta-san-ID3pDWw.html,Nazarbek - Bugunda 09:26,not specified,Real_Estate
"6 731 400 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/na-mirzo-ulugbekskom-rajone-prodaetsya-pomeshhenie-sajram-ploshhad-387-kvm-ID41igp.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:26",not specified,Real_Estate
"280 000 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/paxtakor-2-xonali-dom-ID3YhmO.html,Paxtakor - Bugunda 09:28,not specified,Real_Estate
3 236 250 000 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayotsya-kottedzh-na-korasu-1-ID3UifD.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:28",not specified,Real_Estate
"12 945 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/tashkent-siti-gardens-sdaetsya-novaya-2-x-komnatnaya-v-elit-komplekse-ID3OpPr.html,"Toshkent, Shayxontohur tumani - Bugunda 09:28",not specified,Real_Estate
"599 353 500 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/yu-abad-11-1-7-9-s-remontom-novostrojka-or-r-byd-salon-srochno-ID40RYh.html,"Toshkent, Yunusobod tumani - Bugunda 09:25",not specified,Real_Estate
6 472 500 so’m,https://www.olx.uz/d/oz/obyavlenie/r4-sdayu-lyuksovuyu-kvartiru-3-4-9-r-n-yunusabadskij-or-r-minor-ID3Zn33.html,"Toshkent, Yunusobod tumani - Bugunda 09:28",not specified,Real_Estate
7 767 000 so’m,https://www.olx.uz/d/oz/obyavlenie/arenda-kvartira-eko-bozor-mirzoulugbek-rajon-eko-bozor-68-kvadrat-600-ID40T6l.html,"Toshkent, Mirzo-Ulug‘bek tumani - 28/04/2025",not specified,Real_Estate
"1 553 400 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/uy-sotiladi-yunusobod-4-kv-ID40K8B.html,"Toshkent, Yunusobod tumani - 29/04/2025",not specified,Real_Estate
"401 295 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/prodayotsya-kvartira-novostroka-v-centre-goroda-andizhan-ID3UQLa.html,Andijon - Bugunda 04:20,not specified,Real_Estate
"1 488 675 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/v246-prodaetsya-kvartira-ul-mustakillik-darxan-kafe-darxan-2-7-9-67m2-ID41HEe.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:25",not specified,Real_Estate
