Phone Name,Free Delivery (Exact Match),Free Delivery (Partial Match),Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty
"realme Narzo 80 Pro 5G (Racing Green, 256 GB)",Yes,Yes,"₹21,053",8 GB,256 GB,17.2 cm (6.77 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme NARZO 80 Pro 5G (Racing Green, 128 GB)",Yes,Yes,"₹18,848",8 GB,128 GB,17.02 cm (6.7 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"realme Narzo 20 (Victory Blue, 64 GB)",No,No,"₹12,999",4 GB,64 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme 70 TURBO 5G (Turbo Yellow, 256 GB)",Yes,Yes,"₹22,990",12 GB,256 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo 20A (Victory Blue, 64 GB)",No,No,"₹11,999",4 GB,64 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 50i (Carbon Black, 32 GB)",No,No,"₹7,499",2 GB,32 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50i (Mint Green, 32 GB)",No,No,"₹7,499",2 GB,32 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 20 Pro (White Knight, 64 GB)",No,No,"₹16,999",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 50i (Carbon Black, 64 GB)",No,No,"₹8,999",4 GB,64 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 (Racing Blue, 128 GB)",No,No,"₹12,999",6 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 (Racing Blue, 64 GB)",No,No,"₹10,999",4 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
